Isin,Name,Asset,Region,Volatility,Strategy
IE00BFXR6159,L&G Multi-Strategy Enhanced Commodities UCITS ETF USD Accumulating,Commodities,,18.64,Long-only
IE00BCBJG560,SPDR MSCI World Small Cap UCITS ETF,Equity,World,17.11,Long-only
IE00BJ5JNY98,iShares MSCI World Information Technology Sector ESG UCITS ETF USD (Dist),Equity,World,24.97,Long-only
LU0969639128,UBS ETF (LU) Bloomberg EUR Treasury 1-10 UCITS ETF (EUR) A-dis,Bonds,Europe,4.77,Long-only
IE00BKKKWJ26,iShares USD Corporate Bond ESG UCITS ETF (Acc),Bonds,World,10.54,Long-only
IE00B3T9LM79,SPDR Bloomberg Euro Corporate Bond UCITS ETF,Bonds,World,4.68,Long-only
LU1834983477,Amundi STOXX Europe 600 Banks UCITS ETF Acc,Equity,Europe,22.69,Long-only
DE000ETFL060,Deka DAX (ausschüttend) UCITS ETF,Equity,,17.03,Long-only
IE00BM67HM91,Xtrackers MSCI World Energy UCITS ETF 1C,Equity,World,23.38,Long-only
LU1291099718,BNP Paribas Easy MSCI Europe ESG Filtered Min TE UCITS ETF,Equity,Europe,14.12,Long-only
LU1931974692,Amundi Prime Global UCITS ETF DR (D),Equity,World,15.4,Long-only
LU1230136894,Lyxor Smart Overnight Return UCITS ETF C-GBP,Money Market,World,5.69,"Long-only, Active"
IE00BF3NC260,iShares Euro Total Market Value Large UCITS ETF,Bonds,World,7.84,Long-only
IE00BD9MMF62,JPMorgan EUR Ultra-Short Income UCITS ETF - EUR (Acc),Bonds,World,0.29,"Long-only, Active"
IE00BKWQ0H23,SPDR MSCI Europe Health Care UCITS ETF,Equity,Europe,14.06,Long-only
LU1484799843,UBS ETF (LU) Bloomberg MSCI Euro Area Liquid Corporates Sustainable UCITS ETF (EUR) A-acc,Bonds,Europe,5.39,Long-only
IE00BFMXYX26,Vanguard FTSE Japan UCITS ETF Accumulating,Equity,,19.54,Long-only
IE00BFMXVQ44,Vanguard FTSE 250 UCITS ETF (GBP) Accumulating,Equity,,17.26,Long-only
LU0779800910,Xtrackers CSI 300 Swap UCITS ETF 1C,Equity,,17.73,Long-only
IE00BGPP6473,iShares USD Treasury Bond 3-7yr UCITS ETF EUR Hedged (Dist),Bonds,,10.07,Long-only
LU0378818131,Xtrackers II Global Government Bond UCITS ETF 1C EUR Hedged,Bonds,World,5.41,Long-only
LU1407892592,Amundi UK Government Bond UCITS ETF Dist,Bonds,,12.61,Long-only
LU1681044480,Amundi MSCI Emerging Markets Asia UCITS ETF EUR (C),Equity,Asia & Pacific,17.52,Long-only
IE00BMDWYZ92,JPMorgan Carbon Transition Global Equity UCITS ETF USD (acc),Equity,World,15.13,Long-only
LU0446734872,UBS ETF (LU) MSCI Canada UCITS ETF (CAD) A-dis,Equity,,14.86,Long-only
LU1681040223,Amundi STOXX Europe 600 ESG UCITS ETF DR EUR (C),Equity,Europe,14.33,Long-only
IE00BDR55927,UBS ETF (IE) MSCI ACWI Socially Responsible UCITS ETF (hedged to EUR) A-acc,Equity,World,16.85,Long-only
IE00B466KX20,SPDR MSCI EM Asia UCITS ETF,Equity,Asia & Pacific,16.25,Long-only
IE00BKM4H312,iShares MSCI USA Quality Dividend ESG UCITS ETF USD (Dist),Equity,,15.98,Long-only
